date,symbol,open,high,low,close,Volume ETH,tradecount
21/05/2021 11:00,ETH/USDT,2690.59,2718.53,2651.9,2712.37,66195.47736,102624
21/05/2021 10:00,ETH/USDT,2762.14,2768.75,2680.99,2690.59,54928.33476,101756
21/05/2021 09:00,ETH/USDT,2703.22,2783.21,2701,2762.14,59946.50906,89004
21/05/2021 08:00,ETH/USDT,2687.44,2706.66,2619,2703.22,93743.59764,147389
21/05/2021 07:00,ETH/USDT,2765.01,2770.69,2679.79,2686.96,66286.75493,97881
21/05/2021 06:00,ETH/USDT,2752.37,2778.93,2701.48,2765.01,67375.27983,109239
21/05/2021 05:00,ETH/USDT,2779.4,2806.12,2729.01,2752.36,53910.96894,101582
21/05/2021 04:00,ETH/USDT,2790.86,2807,2740.04,2779.68,85326.21882,104177
21/05/2021 03:00,ETH/USDT,2855.13,2855.13,2771.82,2790.86,57708.01464,112050
21/05/2021 02:00,ETH/USDT,2896.78,2897.18,2834.37,2855.13,48777.88106,107322
21/05/2021 01:00,ETH/USDT,2903.92,2938.54,2877.47,2896.62,52754.43862,104409
21/05/2021 00:00,ETH/USDT,2767.87,2926.97,2760.95,2903.92,82591.43149,152402
20/05/2021 23:00,ETH/USDT,2841.15,2859.66,2739,2768.62,86328.06149,140615
20/05/2021 22:00,ETH/USDT,2836.39,2861.84,2689,2841.81,60632.26221,112556
20/05/2021 21:00,ETH/USDT,2759.39,2838.51,2724.32,2836.06,32715.36889,68373
20/05/2021 20:00,ETH/USDT,2782.81,2832,2742.91,2759.38,57400.68481,108714
20/05/2021 19:00,ETH/USDT,2781.3,2819.86,2748.09,2782.41,57802.55956,100052
20/05/2021 18:00,ETH/USDT,2758.5,2810,2715,2781.3,73492.71086,137257
20/05/2021 17:00,ETH/USDT,2700.47,2778.99,2640,2758.33,97770.71499,189270
20/05/2021 16:00,ETH/USDT,2903.97,2905.7,2581,2700.5,261257.9758,363208
20/05/2021 15:00,ETH/USDT,2894.28,2956.89,2859.15,2903.99,82309.47958,132679
20/05/2021 14:00,ETH/USDT,2904.89,2967,2863.25,2894.28,104999.1987,164320
20/05/2021 13:00,ETH/USDT,2874.84,2990.05,2842,2904.15,151321.3018,244609
20/05/2021 12:00,ETH/USDT,2754.4,2902.5,2708.01,2874.84,146622.5632,226864
20/05/2021 11:00,ETH/USDT,2711.09,2758.99,2670.32,2754.41,88222.66384,138494
20/05/2021 10:00,ETH/USDT,2672.56,2720,2643.92,2710.05,92083.16266,142091
20/05/2021 09:00,ETH/USDT,2694.54,2700.24,2567.06,2672.55,115316.8194,164378
20/05/2021 08:00,ETH/USDT,2712.68,2747.36,2655.98,2694.55,95685.43143,132490
20/05/2021 07:00,ETH/USDT,2645.75,2779,2645.25,2712.69,133161.5034,186682
20/05/2021 06:00,ETH/USDT,2655.43,2690.29,2576.76,2645.25,107529.5537,155452
20/05/2021 05:00,ETH/USDT,2563.8,2695,2559.71,2655.47,138161.4829,194667
20/05/2021 04:00,ETH/USDT,2472.46,2592.46,2454.82,2564.07,138257.6083,192553
20/05/2021 03:00,ETH/USDT,2465.83,2500,2389.9,2472.46,118458.243,153300
20/05/2021 02:00,ETH/USDT,2338.51,2483.4,2318.58,2465.76,167039.7358,205851
20/05/2021 01:00,ETH/USDT,2231.96,2388,2172.77,2338.47,249701.0079,287809
20/05/2021 00:00,ETH/USDT,2438.92,2546.03,2155,2230.9,286507.8359,300768
19/05/2021 23:00,ETH/USDT,2658.08,2674.57,2429,2438.92,123756.0362,168049
19/05/2021 22:00,ETH/USDT,2586.3,2714.28,2550,2657,101536.8812,157960
19/05/2021 21:00,ETH/USDT,2523.01,2598.54,2427.5,2586.24,97859.71612,143402
19/05/2021 20:00,ETH/USDT,2601.13,2717.42,2516,2523.3,106813.7148,180987
19/05/2021 19:00,ETH/USDT,2604.65,2680,2556.18,2601.13,117489.4097,195004
